user,sentiment,topic,comment_text
@christianolson7141,-0.657,0,Elon buying Twitter and changing the rules was the momentum needed for the pendulum to swing back from this insanity.
@thomasgill223,0.8313,2,"Now that's some glorious free speech right there, people!"
@Ariaofeffect,-0.2732,1,Who’s here after musk announced he’s suing the advertisers for not advertising?
@supercheetah0,-0.2732,1,"Eight months later, they did, and they are, and now he's suing them for doing what he told them to do."
@Wesparkey,0.0,1,Elon knows something that most of us don’t understand - it’s just money.
@mc1993,0.2732,1,"This is how we should feel about those companies as well, and when I say feel, I mean with our wallet."
@johnsmithwesson9996,-0.4019,0,He’s damn right. Finally a man stands up against these corporations and conglomerates.
@veganangel68,-0.6536,1,"Seriously though. I'm more shocked that people are so shocked. Should he cave in to demands by advertisers??? Is that what ""good"" people do? I don't think so."
@spaghettibadger647,0.1225,1,"And now musk is suing because people don't want to advertise on his site.

Lol"
@VexWerewolf,0.0,2,I can't wait until this is shown in court.
@MartyMcK,0.0,2,Quite right.  Disney have overstepped themselves one time too many
@free_spirit111,0.4215,0,Elon musk is a true legend
@MelanieSmith-qu9ml,0.8494,0,"This was the absolute BEST response Mr Musk could ever have 
made. Kudos to Elon Musk"
@jthecool9225,0.2732,2,This aged well
@HaleXF11,0.0258,1,Lmao now he's suing those advertisers for boycotting him. He wants it both ways.
@NevecLP,0.3939,2,"""Am I cool yet?... What about now?"" - Elon Musk"
@nathanpolak8635,0.8653,2,"I know hindsight is 20/20, but unlike some of these comments, the crowd in the moment even thought it was more laughable than applause worthy."
@ls_812,0.7125,0,The interviewer is speechless. I LOVE IT
@freakincampers,0.0,1,"Told them not to advertise, then when they do, he sues them for not advertising?"
@Nomblies,0.25,1,"He tells them to f*ck off, they do, and now he wants to sue them because of that?

I can't imagine being any of the people who posted such praise for him for any of this. How embarrassing."
@TheDancelow,0.4019,1,Who is getting the last laugh now.  That lawsuit ain't going nowhere
@sm0keyyy_,0.0,1,"Now that they aren’t advertising he chooses to sue them. 

Also, nobody is blackmailing him"
@ceeril,0.4939,0,"Lawyer: Your Honor, Exhibit A."
,0.3612,1,aged like milk
@RazzoGatto,0.0,0,"And now he's begging advertises to return  
The genius at work, everyone!"
@danieltoone5979,-0.4754,1,Someone is going to really regret this video right about now
@Jarvolo27,0.0258,1,Real funny looking back on this with his tantrum of a court case he filed today.
@salvatorecorleone1008,0.0,0,Elon understands how to be an American. 🇺🇸
@wonderfulmidwest,0.8074,2,That nervous hand shake when he's grabbing the glass after nobody laughed lmao
@Afgrahamistan,-0.309,2,"He keeps looking at the crowd every time he replies, like he's so desperate for vindication and to sound cool but he just comes off so weird."
@Michael-RS56,0.3182,0,So cringe watching him trying to be edgy and cool
@abelulloamartinez7347,0.7579,1,"One year later: Disney, IBM, Comcast, Warner Bros, Discovery and Lionsgate Entertainment retake advertisement on X   ...Market is the Market and Elon won at the end"
@brian8865,0.3612,1,Lot of these pro-Elon comments aged like milk.
@saeonix,0.4939,0,"Exhibit A, your honor, right here."
@JSythe,-0.443,2,This did not age well. Musk is now suing because advertisers left.
@krisi.2011,0.6369,0,I love elon musk . He's what the world needs
@triple6758,0.0,1,Elon is taking years to swallow the red pill.  I think we'll see acceleration from here.
@russelltaylor5467,0.0,0,& hows that working out for him?
@EinfachFredhaftGaming,-0.2732,1,And now he's suing them for not advertising
@gameragodzilla,0.5994,1,And now Disney is back advertising on X. lmao
@DawzeyJ,0.1531,2,People saying that they will “use this video in court” and Elon won’t be successful in the lawsuit are absolute morons.
@joevictor53,0.8176,2,That's hilarious watching him looking to the crowd like a trained animal. He wants that response of clapping and cheering and his mind shuts down when he doesn't get it
@KafshakTashtak,0.5994,1,"Dear Telegraph, please keep this video online. This could be used in court as an evidence."
@anh1192,-0.4588,2,I relate to this sentiment in my bones . He is an INTJ . Shallow currencies mean nothing if it’s shrouded in deceit
@brandonjames3,0.0,1,This video is all the sweeter as of this morning
@ClericChris,0.1901,2,"I keep think ""ok it's impossible to like this guy more"" but then he does this. Him and Dana White are what CEOs should be."
@mr.b8671,0.0,1,And now Elon is begging advertisers to come back.
@undrdog5204,-0.6199,2,"the guy who sold the truck that is made for literally no one except fanboys and hypebeasts told advertisers, the people who keep the platform afloat to leave? and now hes mad they left? surprised pikachu face"
@stodo1337,0.0,0,What a crybaby
@buttermilk5364,0.5859,2,Elon Musk sounds like a huge hypocrite now
@sixonebubble,0.4389,0,Protect him at all cost!
@001variation,0.0,0,"""Don't Advertise"" -Elon Musk, 2023"
@BusinessSkeleton,0.0,0,What a tool
@flyboymcgee8059,0.5647,2,"This is how we measure the lengths of free speech. Not what has been, or will be said, but the lengths that private institutions, corporate interests, and fiat clenching politically controlled media does in response"
@Antropoids,-0.1779,1,"sorry dude, advertisers did not blackmail, they not even try - they simply said no. It shouldn´t be that hard to grasp"
@josephmedina6403,-0.4767,0,Who ruined Twitter Elon ?
@LeonJones-xn5kc,0.7096,1,Trying to blackmail the richest man in history with money is like trying blackmail a fish in the ocean into buying a glass of water
@isrbillmeyer,0.2579,1,The reporter kinda thought Elon was going to beg for advertisers to come back. Clearly was not prepared for this.
@murrygondwana7260,0.0,1,This video should be titled: Exhibit A.
@actonman7291,0.5411,1,Hell yeah! Milei inspire him. For a better world  .
@JAntonSaad,-0.1803,1,"There is nothing like bending over to support your rants, Elon"
@queenj.8i895,0.9269,2,YES PLEASE to FREEDOM OF SPEECH!!!!!!!! GO ELON!!!!!!
@TheRohBird1,-0.2244,1,As much as i hate Twitter and everything it represents i gotta respect a man who tells Bob Eiger to go ** himself!
@stevenhowe6677,0.8709,1,"NOT sure of his 'motives' BUT Elon Musk standing up to big advertisers and big business is so refreshing and hopefully will promt others to HIGHLIGHT just WHO and WHAT has been behind this rise in 'wokism' and obvious control and manipulation. In the UK we have Farage standing up to the banks and TV companies, Musk is bigger and has more exposure and of course resources, it's a welcome and refreshing change."
@icefly701,0.0,2,They gonna show this video in court. Case closed.
@Tekner436,-0.7255,2,"I can't believe someone could be so insensitive to these billion dollar corporations, it's just unjust in society!"
@ClericChris,0.0,2,Get this man's head on Rushmore.
@NigelMontezuma,0.0,0,"The advertisers have pulled out, not helped by Elon Musk telling them not so politely to go away."
@clarkyrock187-,0.5696,0,Shout out to #ElonMusk! #Respect!
@_elynas,-0.4002,1,he wants to be liked so bad
@calvinburr1248,-0.8622,1,"I've said it several times before, and each time it seems more urgent and more necessary.  The board of directors or whoever might have the power to do so should remove Musk as the face and voice of Tesla.  He is hurting the company and its brand, he is hurting the employees, and he is hurting the people who have invested in the company.   Describing Musk as a juvenile jerk is an understatement, and that is the reason why people like Warren Buffett have decided not to risk investing in Tesla.   Musk has some serious psychological problems and is unstable."
@ScrapersNbots,0.93,2,"*
I love Elon Musk and I love Donald Trump  2 of the most manliest men who have the balls to say what is truly on their mind (like me)
*"
@KrogerKing,0.0,2,He is saying what everyone else is afraid to!
@HardTruths-sr2ps,0.6486,2,I hope they play this clip in the court case
@sebastianannab8159,0.0,2,Absolutely iconic
@AlchemistsTable,-0.2382,2,"There must be a long, German word for the recognition of how awkward a situation is, as a mix of cringe, some sort of slight mental abnormality, hubris, and complete lack of self awareness from the person in focus.  But, when everyone sees it happening, like a slow freight train collision - and wants it all to end for every one involved."
@EazyStr33t,-0.0772,0,7 months later and now he's crying that they actually left lol
@Kevin-le8qc,0.3818,2,They can’t handle a guy who can’t be bought and who has integrity
@2pointSummer,0.8442,1,they really thought they could blackmail one of the richest people alive with money. about sums up their intelligence
@shamrock141,0.7096,1,"Got to hand it Elon, he singlehandedly reduced Twitter's revenue income by 75% over the course of a couple years, that is impressive 

And now he's moaning that the advertisers did in fact leave, seems his ego needs constant reality checks"
@cookiecombohouse,-0.2057,1,These old comments did NOT age well
@Zeboath,0.7096,2,"How is it one of the richest men in the world, looks around for validation like that."
@jdt7662,0.0,2,case dismissed
@lnarvaez2010,0.0,1,"""Hey Bob, here in the audience."""
@fcukjo3b1d3n,0.0,2,This is literally how Legends are made
@phr0ggi,-0.2263,1,This total clown. This one video throw out his entire lawsuit.
@csguak,0.0,2,Not even Tony Stark would have this in the script
@MrOlly,0.2023,0,Fine. Wine.
@archiewebster5034,0.0,1,Full video?
@CarecaRetrogamer,0.0,0,This man is a f***ing LEGEND. MORE POWER to Elon Musk.
@BrettHoustonTube,0.6369,1,"""He's such a rebel, let's all worship him as our new hero..."""
@fyodorshestakov6462,0.3612,1,He just turns from side to side like Muppet character...
@zacharyzimmerman505,0.0,0,Here from Riley on JRE..
@LaLo392,0.9309,0,"Perfect!!
Excelent!!
Marvelous!! 
Great ElonTheMF Musk!!"
@tyzxcj34,0.2714,0,This guy is a clown! He was acting so machi here and now he's crying and begging his master Trump for help. What a joke
@jamiescott6350,0.0,0,"That's a power move by Elon, he's shown he's a man of the people."
@RD210,0.5994,0,God Bless Elon
@danielclark241,-0.4215,0,"0:13-0:24 Elon to Twitter users after changing the way the ""Block"" feature works (or doesn't work, for that matter)."
@Jsand714,0.0,2,The guy interviewing him didn’t even know how to follow up on that
@xtop23,-0.0772,0,"Thanks for being real, Elon. Fk all these haters. That was gangster."
@AWDTH1111,-0.4019,2,"0:15 The reporter: ""Damn this wasn't on the script. I don't know how to have a genuine conversation, what do I do with this?"""
@WoopyGoldbergsHair,0.3612,2,Men don’t cross their legs like this interviewer
@allynsmith5026,0.5859,1,Why I think this man is Brilliant.
@amanbaniya6997,0.0,1,What a clown and now he is sueing
@edwelndiobel1567,0.0,1,"Disney is mystified:  ""But but we've always been able to blackmail everyone with money """
@youngjohn5076,0.0,0,Who is begging for advertisements now.
@meh3247,-0.296,1,I'm beginning to suspect that this Musk fellow isn't quite the genius that his marketing teams would have us all believe...
@MaharlikaAWA,0.0,2,Elon said the right thing.
@jimf14,0.6249,2,Lol at everyone who thought he was cool for doing this
@carlosue5472,0.0,2,This should be everyone’s respond to the woke mind virus acolytes.
@Xmpzl19,0.8225,1,This man is the CEO of 10 different multi billion companies and is the richest man in the world and Disney is trying to blackmail him  for a couple of millions in ad revenue . I love Elon musk.
@BuffNerdInCa,0.0,2,"Politics should be voted on by the people, not blackmailed by large corporations."
@VulcanLogic,0.8834,2,I love how he bravely flushes his own money down the toilet and then licks the bowl at the brown bits for our entertainment.
@bender9222222222,0.9042,0,L after L after L after L.
@Christianearthpony39,0.8478,0,I love him! That was perfect
@nochildsupport4889,0.4767,0,This is why I respect this man
@virenmathur1720,0.3182,1,Elon speaks truth
@momo_the_kiwi121,0.6369,0,I love Elon
@stephenu3833,0.0,2,Musk was obviously channeling Dana White when he said that
@SoulMonger,0.6369,0,Love him
@Rodimus184,0.4215,2,The tumbleweed pauses for applause still get me
@reddeaddude2187,0.4926,0,Good man!
@gero_dev,0.3612,1,I come to this video every now and again and re like it
@TheArdanwen,0.0,1,"Thats the ""micdrop"" of the century"
@clbl8706,0.2259,1,Now hes suing them for not advertising. Pathetic.
@ErnstSwanepoel,0.3612,1,Aged like milk.
@chookee1080,0.5267,1,"So, Disney's plan was to blackmail one of the richest man in the world with money"
@dougiefresh195,0.0,0,Based! He doesn’t need their money.
@chewyfknrocks,0.3818,2,I just love how uncomfortable it makes all these talking heads as they have to try to respond..
@MarbleThumbs,-0.128,1,Man with lots of money cries when advertisers exercise their freedoms.
@aaronshad13,0.0,1,“Hey Bob”
@nathanpearl2321,0.3612,2,I like the way he doubled down. Just in case there was any question.
@aldosam5317,0.0,0,Living legend
@ScottyVcest,0.0,0,Elon Musk is a legend. End of
@filipedasilvadias712,0.6696,2,This is freedom speech ! Elon rules
@Copperyfoxx,-0.8039,1,AND NOW HE'S TRYING TO SUE THEM. He's so effing dumb it hurts.
@planethoth1238,0.0,0,He doesn’t own Tesla he bought it
@StudyTrainAchieve37,-0.4767,0,Elons just a sad human being
@haroldrogers6566,0.5319,0,Absolute YES for Elon
@PCB888,0.0,0,Unhinged
@leoredgamer,0.6705,0,Please Elon Musk Save the Brazil of Alexandre de Morais 🇧🇷🇧🇷🇧🇷
@sheikhakbar2067,-0.5231,2,"Elon Musk lacks the charisma and the speaking skills that are a must in anyone who wants to be perceived as a public figure. His stuttering is so annoying, even to a non-native speaker of English like me! I can't believe he spent money on hair implants and plastic surgeries and forgot to hire a public speaking coach!"
@andreatorres4812,-0.1531,1,Why ddid he looked like he wanted to cry?
@normal_media,0.2732,2,"Well Limbaugh used to just go to the ones waiting and say come on , we have openings now.  Plenty waiting in line"
@jd2much2handle,-0.3182,1,Why does he keep looking at the crowd awkwardly each time he says something?
@iamrys5940,0.9299,1,I love how he says “Hi Bob!” Would’ve been super funny if he said afterwards something like: “How’s the retirement going? Oh wait.”
@clins1994,0.0,1,That’s how everyone feels most of the time
@planetaryascencion,0.8894,1,I don't like Musk but this is the only moment I truly agree and fully appreciate him
@rfbftp123,0.0,0,Elons been watching some Bill Hicks stand ups
@anarutate9929,0.0,0,He is literally a real life Tony Stark
@autumn-bmb1,0.6369,0,I love this man even more now
@naijaboygangsta,0.0,0,Oof Poorly aged
@bilelsk9000,0.2732,2,Well i am openning an X account
@timschmidt2892,0.6988,0,Love it!!
@dennisxavier9513,-0.5216,2,It is impossible not to love this dude.
@Daphne-qg3bv,0.6124,1,"Hey, it’s Daphne. I seriously need help with out of country investors taking over our music industry and our Grammy Awards."
@AD-dw6cb,0.4939,0,The amount of people on here who think using escalation tactics  is awesome and should be the new normal makes it clear the species is going to destroy itself sooner than later.
@ryans413,0.4215,1,Hi Bob that was a direct callout to Bob Igor the president of Disney lol
@jeffphillips916,0.4926,2,I can't add anything to improve this....Brilliant!
@CelestiaIChimera,0.5994,2,i can't believe there's people who believe elon musk knows what he's doing lmao
@richessery8475,0.0,1,In reality he is crapping himself.
@lordm278,0.0,2,Example one Judge.
@akhilmathews7393,0.0,1,I saw this last week and I thought it was AI. Can’t believe it’s actually real.
@adriB40,0.0,0,
@DomVito87,0.4939,2,"I enjoy Elon for this.  

Literally he said what the public feels towards these loonies"
@gregabrams5792,0.6369,0,Love this
@JTBlair-nw6gb,0.6696,0,I love this man!
@edwardrichardson7076,0.4404,0,"Elon Musk has become such a vile human being that 
I wouldn't drive a Tesla now if I won it free."
@larryludy1382,0.4019,1,"The key word here is blackmail , I support Elon and his response."
@lexlightening5833,0.875,1,"WHAT A LEGEND, ELON IS MY HERO, WHAT AN AMAZING MAN OF INTEGRITY."
@michellebucking4187,0.0,0,Elon speaks my language. Keep going Elon! F**** right on!
@darthlaurel,0.8176,0,One of the greatest moments of free thinking this century.
@spaceantelope1,0.7269,1,Guy interviewing looks like he wants to laugh
@Twinhit,0.3612,0,That smile all the while.
@sarawiener9326,0.0,0,Elon ist einfach der Beste. Ein Schatz.
@jackbar28,0.0,1,They'll have to show this video at the trial.
@HydeRvt,0.0,0,we need more elons in this world.
@chrisdonovan8795,0.0,0,Elon is developing the Trump touch.
@maureenparisi5808,0.5399,1,I’m have to watch Elon grill that guy again! Good stuff!
@ShifaAhmed-s7t,0.4767,2,"He's a loyal dog, of course he's going to say that."
@harrietharrietbly1089,0.5983,0,"Elon Musk is my new Hero, finally someone had the guts to do what's right!"
@bkirkbir,0.7579,1,It amazes me to see that people think this is an unplanned move and cheering for it.
@plweis7203,0.2023,0,Top man Elon
@Matthew-hy1qp,0.3182,1,This comment section is hilariously embarrassing lmao.
@AmericanSystems0101,0.2732,0,He's a God
@julichio6241,0.4767,0,Massive respect for Musk.
@stevesilver9649,0.0,1,My MAN!!
@Omid01,-0.6865,2,"Haven’t seen him this angry before 
He is a very nice guy 
Can’t imagine what happened that he is this angry"
@justusthefreak,0.0954,2,I‘m sure this video will be aged very very well once X went bankrupt
@TerryTappArt,0.6908,1,Living proof that entitled rich boys shouldn't open their mouths in public
@kgizzle92,0.0,1,Now he’s trying to sue them cuz they did what he told them…what a little weenie!
@brittania1974,0.4504,2,"This is exactly what the country needs to hear. There's nothing wrong with it, it's healthy and the CHANGE that is needed. The US will be a greater place if everybody adopted this attitude. Just give it to each other straight up instead of pussyfooting around. It saves so much time and energy. People hate solution, they wallow in the problem, it's mental illness."
@maryrihana236,0.926,1,Love Elon smart mega rich intelligent n says it the way it is
@MrMkim,0.0,0,Jesus those hair plugs are barley hanging on
@beandinner1262,0.3182,2,0:15 Please clap? 🫠
@JackieFrankieful,0.5859,0,Elon Musk is salty xD
@GoguJomapel-ju9xv,0.2714,0,"Elon Musk just got in the top as NR 1 celebrity for me, fo` life!"
@Evan-oh6jy,0.4466,1,$GFY IS THE TICKER 🫡 JOIN THE MOVEMENT
@Dontyoutrust,0.2732,2,This aged well
@charleswest6854,0.7125,0,I LOVE this Man.
@2006gtobob,0.0,1,The man!
